"site"	"inoculum"	"masse.tige"	"l.racines"	"diam.racine"	"arb"	"coils"	"ves"	"nonmyc"	"dse"	"pH"	"ammonium"	"nitrate"	"phosphore"	"wsa"	"mo"
"1"	"1"	"1"	0.0809	4.2951	0.2606	38	25	2	0	9	6.47	8.76	6.63	10.3	0.34	5.41
"2"	"1"	"2"	0.0494	4.7635	0.2632	39	19	25	0	0	6.15	8.81	2.76	8.51	0.47	4.95
"3"	"1"	"3"	0.0835	3.781	0.236	35	36	34	2	9	5.68	13.59	7.08	26.48	0.35	6.14
"4"	"1"	"4"	0.0712	3.3063	0.2667	63	33	55	3	13	5.61	10.98	5.83	21.1	0.47	4.47
"5"	"1"	"5"	0.0732	3.1351	0.2723	32	36	32	0	35	5.12	10.74	5.53	16.85	0.35	4.26
"6"	"1"	"6"	0.1291	5.6601	0.2579	19	30	29	0	24	5.86	9.77	9.13	22.2	0.25	4.62
"7"	"1"	"7"	0.0694	3.9894	0.2445	60	17	55	0	9	5.67	13.8	5.5	17.82	0.34	2.87
"8"	"1"	"8"	0.0702	2.1481	0.2826	52	34	19	0	7	4.78	13.61	0.08	7.86	0.38	3.77
"9"	"1"	"9"	0.0738	2.1266	0.2363	38	23	19	0	8	5.84	14.08	0.24	9.44	0.31	5.43
"10"	"1"	"10"	0.0715	2.4065	0.2687	34	45	13	0	14	6.27	8.92	1.53	4.54	0.41	5.28
"11"	"2"	"11"	0.0731	2.9638	0.2481	59	32	38	0	3	5.53	10.12	8.69	5.45	0.63	5.85
"12"	"2"	"12"	0.0581	2.1304	0.2916	34	25	27	0	11	4.38	12.86	16.92	8.27	0.39	4.46
"13"	"2"	"13"	0.0607	3.2026	0.2678	24	37	6	0	8	4.8	11.85	15.97	6.26	0.45	4.07
"14"	"2"	"14"	0.0614	2.2346	0.2814	56	18	11	0	7	4.92	17.37	18.24	6.15	0.5	5.39
"15"	"2"	"15"	0.0629	1.724	0.3007	54	38	16	0	10	5.23	15.12	10.07	5.99	0.41	4.65
"16"	"2"	"16"	0.067	4.1245	0.2605	39	31	44	3	3	4.41	14.16	8.64	4.48	0.32	5
"17"	"2"	"17"	0.0702	3.1905	0.2739	33	49	23	0	0	4.88	13.23	10.66	4.35	0.27	3.86
"18"	"2"	"18"	0.0655	2.6023	0.2535	39	30	58	0	11	5.27	9.98	22.02	4.05	0.34	4.82
"19"	"2"	"19"	0.0861	3.759	0.2374	64	26	18	0	14	4.99	17.12	10.53	5.39	0.32	3.3
"20"	"2"	"20"	0.0489	2.312	0.2864	26	33	28	2	2	5.17	13.47	7.91	7.08	0.4	4.14
"21"	"3"	"21"	0.0598	3.4247	0.2357	32	1	40	1	17	4.58	15.77	11.29	4.38	0.39	4.11
"22"	"3"	"22"	0.0765	3.0323	0.2694	45	5	13	0	20	5.39	13.79	20.15	4.5	0.42	5.01
"23"	"3"	"23"	0.0774	3.2958	0.273	49	2	14	2	40	5.02	15.71	14.51	5.9	0.32	3.41
"24"	"3"	"24"	0.054	2.6487	0.2507	31	19	14	2	14	4.95	10.26	18.03	10.76	0.46	3.99
"25"	"3"	"25"	0.0365	3.0066	0.2677	41	5	20	1	21	4.85	14.5	12.95	8.7	0.26	2.98
"26"	"3"	"26"	0.0745	3.1862	0.2763	61	0	21	0	16	5.17	13.11	17.3	2.07	0.46	3.74
"27"	"3"	"27"	0.0555	2.243	0.2817	48	4	43	0	13	5.55	13.91	9.84	3.44	0.44	4.3
"28"	"3"	"28"	0.0753	2.6012	0.2796	38	6	47	1	15	6.61	17.74	9.69	4.02	0.53	3.44
"29"	"3"	"29"	0.0543	2.1802	0.2767	39	2	23	1	27	4.78	11.75	11.01	5.24	0.36	2.97
"30"	"3"	"30"	0.061	2.8835	0.2644	38	0	29	1	17	4.72	13.13	13.41	4.68	0.62	3.48
"31"	"4"	"31"	0.0488	3.6301	0.264	46	2	12	1	16	6.57	7.39	4.42	5.42	0.4	5.73
"32"	"4"	"32"	0.0493	2.2985	0.2692	38	3	30	0	28	6.15	8.31	3.65	6.35	0.36	5.38
"33"	"4"	"33"	0.0647	2.7488	0.2501	34	3	40	1	14	5.79	9.09	3.4	7.77	0.35	4.7
"34"	"4"	"34"	0.0591	2.4566	0.2436	36	4	20	4	12	6.98	8.14	7.69	1.14	0.41	6.05
"35"	"4"	"35"	0.0697	3.4761	0.2647	34	4	54	0	18	6.25	8.19	3.06	3.63	0.45	4.31
