"pot"	"inoculum"	"site"	"masse.tige"	"l.racines"	"diam.racine.moy"
"1"	"36"	"1"	"1"	0.0557	1.4084	0.1828
"2"	"129"	"1"	"1"	0.0932	5.5394	0.2518
"3"	"162"	"1"	"1"	0.0894	4.0012	0.2957
"4"	"190"	"1"	"1"	0.1382	5.103	0.26
"5"	"241"	"1"	"1"	0.0481	3.1576	0.2495
"6"	"293"	"1"	"1"	0.0517	4.6026	0.2738
"7"	"363"	"1"	"1"	0.0903	6.2536	0.2328
"8"	"127"	"2"	"1"	0.0298	3.806	0.2539
"9"	"175"	"2"	"1"	0.0456	5.4841	0.2493
"10"	"253"	"2"	"1"	0.0629	3.7793	0.2876
"11"	"381"	"2"	"1"	0.0114	4.3706	0.2553
"12"	"389"	"2"	"1"	0.0877	5.3014	0.2567
"13"	"397"	"2"	"1"	0.0592	5.8396	0.2522
"14"	"1"	"3"	"1"	0.0475	2.4392	0.1938
"15"	"92"	"3"	"1"	0.1025	6.3249	0.2486
"16"	"192"	"3"	"1"	0.0345	0.3044	0.2059
"17"	"238"	"3"	"1"	0.1482	5.5369	0.2423
"18"	"278"	"3"	"1"	0.1057	2.789	0.2706
"19"	"302"	"3"	"1"	0.0625	5.2916	0.2549
"20"	"38"	"4"	"1"	0.1141	0.804	0.1978
"21"	"112"	"4"	"1"	0.0631	3.4741	0.2832
"22"	"141"	"4"	"1"	0.0682	2.7957	0.2696
"23"	"203"	"4"	"1"	0.0155	1.6832	0.2779
"24"	"342"	"4"	"1"	0.1122	5.9287	0.2547
"25"	"370"	"4"	"1"	0.0541	5.1523	0.2478
"26"	"61"	"5"	"1"	0.0668	2.4574	0.2594
"27"	"104"	"5"	"1"	0.0862	3.2002	0.2763
"28"	"183"	"5"	"1"	0.0791	2.7271	0.2713
"29"	"193"	"5"	"1"	0.0616	3.9712	0.2756
"30"	"294"	"5"	"1"	0.0621	4.4097	0.2881
"31"	"326"	"5"	"1"	0.0675	2.3339	0.2566
"32"	"388"	"5"	"1"	0.0888	2.8465	0.2787
"33"	"18"	"6"	"1"	0.0924	2.6759	0.1959
"34"	"69"	"6"	"1"	0.1671	8.4275	0.25
"35"	"74"	"6"	"1"	0.0265	3.0191	0.2677
"36"	"86"	"6"	"1"	0.1428	7.3068	0.2494
"37"	"227"	"6"	"1"	0.1515	5.1277	0.2567
"38"	"368"	"6"	"1"	0.1094	4.1775	0.2785
"39"	"396"	"6"	"1"	0.1112	8.8861	0.245
"40"	"8"	"7"	"1"	0.0407	2.0182	0.197
"41"	"44"	"7"	"1"	0.0579	0.5961	0.175
"42"	"131"	"7"	"1"	0.0912	4.9287	0.282
"43"	"245"	"7"	"1"	0.0709	3.6597	0.2718
"44"	"274"	"7"	"1"	0.0571	4.097	0.2614
"45"	"275"	"7"	"1"	0.0985	4.9721	0.2564
"46"	"151"	"8"	"1"	0.0735	2.0697	0.3053
"47"	"214"	"8"	"1"	0.0868	1.4776	0.2788
"48"	"243"	"8"	"1"	0.0407	2.5442	0.2551
"49"	"320"	"8"	"1"	0.0564	1.7543	0.3037
"50"	"352"	"8"	"1"	0.1021	2.1369	0.2729
"51"	"371"	"8"	"1"	0.0617	2.9061	0.2795
"52"	"11"	"9"	"1"	0.0943	3.4714	0.2235
"53"	"34"	"9"	"1"	0.1206	1.3844	0.1616
"54"	"57"	"9"	"1"	0.1191	0.6904	0.1852
"55"	"208"	"9"	"1"	0.0142	0.3529	0.2177
"56"	"237"	"9"	"1"	0.0858	3.4564	0.2692
"57"	"351"	"9"	"1"	0.0597	4.8173	0.2577
"58"	"355"	"9"	"1"	0.023	0.7134	0.3392
"59"	"54"	"10"	"1"	0.0429	1.2411	0.1811
